Category: All categories

Week,bitcoin: (Worldwide)
2010-08-01,0
2010-08-08,0
2010-08-15,0
2010-08-22,0
2010-08-29,0
2010-09-05,0
2010-09-12,0
2010-09-19,0
2010-09-26,0
2010-10-03,0
2010-10-10,0
2010-10-17,0
2010-10-24,0
2010-10-31,0
2010-11-07,0
2010-11-14,0
2010-11-21,0
2010-11-28,0
2010-12-05,0
2010-12-12,0
2010-12-19,0
2010-12-26,0
2011-01-02,0
2011-01-09,0
2011-01-16,0
2011-01-23,0
2011-01-30,0
2011-02-06,1
2011-02-13,1
2011-02-20,1
2011-02-27,1
2011-03-06,1
2011-03-13,0
2011-03-20,1
2011-03-27,1
2011-04-03,1
2011-04-10,1
2011-04-17,1
2011-04-24,1
2011-05-01,2
2011-05-08,2
2011-05-15,8
2011-05-22,7
2011-05-29,12
2011-06-05,16
2011-06-12,19
2011-06-19,16
2011-06-26,9
2011-07-03,8
2011-07-10,7
2011-07-17,6
2011-07-24,5
2011-07-31,7
2011-08-07,6
2011-08-14,5
2011-08-21,6
2011-08-28,5
2011-09-04,5
2011-09-11,4
2011-09-18,4
2011-09-25,3
2011-10-02,3
2011-10-09,3
2011-10-16,3
2011-10-23,3
2011-10-30,3
2011-11-06,2
2011-11-13,2
2011-11-20,2
2011-11-27,2
2011-12-04,2
2011-12-11,2
2011-12-18,2
2011-12-25,2
2012-01-01,2
2012-01-08,3
2012-01-15,4
2012-01-22,3
2012-01-29,3
2012-02-05,2
2012-02-12,2
2012-02-19,2
2012-02-26,2
2012-03-04,2
2012-03-11,2
2012-03-18,2
2012-03-25,2
2012-04-01,3
2012-04-08,2
2012-04-15,2
2012-04-22,3
2012-04-29,2
2012-05-06,3
2012-05-13,2
2012-05-20,2
2012-05-27,2
2012-06-03,2
2012-06-10,2
2012-06-17,2
2012-06-24,2
2012-07-01,2
2012-07-08,3
2012-07-15,3
2012-07-22,3
2012-07-29,3
2012-08-05,3
2012-08-12,4
2012-08-19,4
2012-08-26,3
2012-09-02,5
2012-09-09,3
2012-09-16,3
2012-09-23,3
2012-09-30,3
2012-10-07,3
2012-10-14,3
2012-10-21,2
2012-10-28,2
2012-11-04,3
2012-11-11,3
2012-11-18,3
2012-11-25,4
2012-12-02,4
2012-12-09,5
2012-12-16,3
2012-12-23,3
2012-12-30,3
2013-01-06,4
2013-01-13,4
2013-01-20,4
2013-01-27,5
2013-02-03,5
2013-02-10,6
2013-02-17,7
2013-02-24,7
2013-03-03,9
2013-03-10,10
2013-03-17,16
2013-03-24,25
2013-03-31,41
2013-04-07,80
2013-04-14,42
2013-04-21,25
2013-04-28,23
2013-05-05,18
2013-05-12,18
2013-05-19,15
2013-05-26,15
2013-06-02,13
2013-06-09,12
2013-06-16,10
2013-06-23,12
2013-06-30,15
2013-07-07,11
2013-07-14,10
2013-07-21,10
2013-07-28,10
2013-08-04,11
2013-08-11,13
2013-08-18,13
2013-08-25,11
2013-09-01,10
2013-09-08,9
2013-09-15,9
2013-09-22,9
2013-09-29,17
2013-10-06,12
2013-10-13,12
2013-10-20,15
2013-10-27,35
2013-11-03,34
2013-11-10,37
2013-11-17,84
2013-11-24,100
2013-12-01,99
2013-12-08,70
2013-12-15,75
2013-12-22,49
2013-12-29,41
2014-01-05,49
2014-01-12,45
2014-01-19,47
2014-01-26,46
2014-02-02,40
2014-02-09,50
2014-02-16,43
2014-02-23,75
2014-03-02,62
2014-03-09,33
2014-03-16,29
2014-03-23,30
2014-03-30,26
2014-04-06,25
2014-04-13,22
2014-04-20,20
2014-04-27,18
2014-05-04,18
2014-05-11,17
2014-05-18,18
2014-05-25,21
2014-06-01,19
2014-06-08,19
2014-06-15,19
2014-06-22,16
2014-06-29,17
2014-07-06,16
2014-07-13,17
2014-07-20,16
2014-07-27,16
2014-08-03,16
2014-08-10,19
2014-08-17,18
2014-08-24,15
2014-08-31,17
2014-09-07,19
2014-09-14,17
2014-09-21,17
2014-09-28,17
2014-10-05,20
2014-10-12,17
2014-10-19,15
2014-10-26,14
2014-11-02,16
2014-11-09,18
2014-11-16,16
2014-11-23,15
2014-11-30,15
2014-12-07,17
2014-12-14,17
2014-12-21,19
2014-12-28,16
2015-01-04,18
2015-01-11,21
2015-01-18,17
2015-01-25,18
2015-02-01,16
2015-02-08,17
2015-02-15,17
2015-02-22,15
2015-03-01,16
2015-03-08,16
2015-03-15,16
2015-03-22,14
2015-03-29,15
2015-04-05,14
2015-04-12,14
2015-04-19,14
2015-04-26,13
2015-05-03,12
2015-05-10,14
2015-05-17,14
2015-05-24,14
2015-05-31,14
2015-06-07,13
2015-06-14,16
2015-06-21,13
2015-06-28,17
2015-07-05,18
2015-07-12,17
2015-07-19,15
2015-07-26,16
